id,date,jurisdiction,actor,component_code,score_0_4,short_reason,source_type,source_link,confidence
SDEI-2025-0001,2025-09-10,US-federal,Fusion Center,CB,3,"Multiple high-sensitivity data sources (telecom, license plate, financial, travel) feeding into integrated systems.","investigative_report","https://example.org/cb","High"
SDEI-2025-0002,2025-09-20,US-federal,Data Platform Vendor,IL,3,"Strong entity-resolution and cross-database linkability enabling persistent tracking across contexts.","vendor_docs","https://example.org/il","Medium"
SDEI-2025-0003,2025-10-05,US-federal,Analytics Unit,AC,3,"Pattern-of-life analysis and risk scoring regularly used in enforcement and intelligence workflows.","policy_report","https://example.org/ac","High"
SDEI-2025-0004,2025-10-18,US-federal,Agency Access Policy,AG_raw,2,"Role-based access and audit logs exist but enforcement is inconsistent and exceptions are common.","ig_report","","Medium"
SDEI-2025-0005,2025-11-02,US-federal,Courts/Legislature,RR_raw,1,"Individuals have limited visibility and remedies for data exploitation; some case law and statutes provide partial avenues.","law_review","https://example.org/rr","Medium"
SD-2025-0101,2025-11-10,US-federal,National Law Enforcement Agency,CB,3,"Escalating use of surveillance authorities against protest movements framed as security threats.",news_report,https://example.org/sdcb1,High
SD-2025-0102,2025-11-16,US-federal,Information Policy Office,IL,2,"New information controls narrow access to certain datasets and public briefings citing national security.",policy_update,https://example.org/sdil1,Medium
SD-2025-0103,2025-11-21,US-federal,Major Social Platform,AC,2,"Algorithmic ranking changes down-rank contentious civic content but transparency remains limited.",platform_policy,https://example.org/sdac1,Medium
SD-2025-0104,2025-11-26,US-federal,Independent Commission,AG_raw,2,"Findings show misalignment between stated civil-liberties commitments and actual enforcement practices.",commission_report,https://example.org/sdag1,High
SD-2025-0105,2025-11-29,US-federal,Civil Society Coalition,RR_raw,1,"Coalition efforts to create legal remedies and support networks are emerging but under-resourced.",ngo_report,https://example.org/sdrr1,Medium
SD-2024-RISAA-702,2024-04-20,US-federal,US Congress,CB,3,"Reforming Intelligence and Securing America Act (RISAA) reauthorizes FISA Section 702 to 2026, keeping broad signals intelligence collection with partial reforms.",congress_crs_report,https://www.congress.gov/crs-product/R48592,High
SD-2024-FISC-APR-OPINION,2024-04-19,US-federal,Foreign Intelligence Surveillance Court,AG_raw,2,"Declassified April 2024 FISC opinion approves Section 702 certifications while flagging ongoing compliance concerns, especially around FBI querying.",odni_fisc_opinion,https://www.intelligence.gov/ic-on-the-record-database/declassified/odni-releases-april-2024-fisc-opinion-on-fisa-702-recertifications,High
SD-2024-FTC-XMODE-OUTLOGIC,2024-01-09,US-federal,Federal Trade Commission,AG_raw,1,"FTC order prohibits X-Mode/Outlogic from selling sensitive location data that can track visits to clinics, worship, and shelters, tightening commercial surveillance rules.",ftc_press_release,https://www.ftc.gov/news-events/news/press-releases/2024/01/ftc-order-prohibits-data-broker-x-mode-social-outlogic-selling-sensitive-location-data,High
SD-2025-FTC-GRAVY-VENNTEL,2025-01-14,US-federal,Federal Trade Commission,AG_raw,1,"FTC final order bars Gravy Analytics and Venntel from selling sensitive location data except in narrow circumstances and requires a compliance program.",ftc_press_release,https://www.ftc.gov/news-events/news/press-releases/2025/01/ftc-finalizes-order-prohibiting-gravy-analytics-venntel-selling-sensitive-location-data,High
SD-2025-FTC-MOBILEWALLA,2025-01-14,US-federal,Federal Trade Commission,AG_raw,1,"FTC finalizes order banning Mobilewalla from selling sensitive location data gathered without verified consent, reinforcing limits on data-broker exploitation.",ftc_press_release,https://www.ftc.gov/news-events/news/press-releases/2025/01/ftc-finalizes-order-banning-mobilewalla-selling-sensitive-location-data,High
SD-2025-FTC-GM-ONSTAR,2025-01-16,US-federal,Federal Trade Commission,RR_raw,1,"FTC proposed order against GM and OnStar bans sharing drivers' precise location and driving behavior data with consumer reporting agencies without proper consent.",ftc_press_release,https://www.ftc.gov/news-events/news/press-releases/2025/01/ftc-takes-action-against-general-motors-sharing-drivers-precise-location-driving-behavior-data,Medium
SD-2025-BACKDOOR-RULING,2025-01-22,US-federal,US District Court,RR_raw,2,"Federal court holds that most warrantless 'backdoor searches' of Section 702 data require a warrant, strengthening judicial limits on domestic surveillance use.",civil_liberties_org_summary,https://www.eff.org/deeplinks/2025/01/victory-federal-court-finally-rules-backdoor-searches-702-data-unconstitutional,Medium
SD-2025-FTC-AVAST-REFUNDS,2025-12-02,US-federal,Federal Trade Commission,RR_raw,1,"FTC sends $15.3M in refunds to consumers impacted by Avast's deceptive data-collection and privacy practices, expanding remedies for past commercial surveillance harms.",ftc_press_release,https://www.ftc.gov/news-events/news/press-releases/2025/12/ftc-sends-payments-consumers-impacted-avasts-deceptive-privacy-claims,High
SD-2025-FTC-ILLUMINATE-STUDENTS,2025-12-01,US-federal,Federal Trade Commission,AG_raw,2,"FTC order against Illuminate Education highlights weak data-governance practices after a breach affecting over 10 million students, even as new requirements tighten future safeguards.",ftc_press_release,https://www.ftc.gov/news-events/news/press-releases/2025/12/ftc-takes-action-against-education-technology-provider-failing-secure-students-personal-data,High
